1.512149510529166685e+00,1.519488938762159069e+00,1.508881001206238137e+00,1.583123732631264824e+00,1.546499059751859972e+00,1.581360179470417515e+00,1.515427230850182605e+00,1.571186999837594245e+00,1.527083933558409656e+00,1.530294861156696218e+00
1.545454546202962520e+00,1.577109376293031273e+00,1.565734882779915793e+00,1.636642217688455636e+00,1.563570238833882131e+00,1.514606092320197606e+00,1.550391261678268240e+00,1.570825581127338610e+00,1.564851875305551809e+00,1.562665012236793327e+00
1.531728386949350318e+00,1.522996324296729043e+00,1.504111590929012143e+00,1.538893021314492460e+00,1.544816243803923683e+00,1.545027574066171860e+00,1.522750228440999942e+00,1.523738889642111349e+00,1.514278804658227617e+00,1.561277762208493680e+00
1.562217451401616053e+00,1.505781499769943910e+00,1.548395134403826701e+00,1.535111317595902802e+00,1.549479222114911625e+00,1.532545226637109126e+00,1.553879354336178187e+00,1.557176954564345905e+00,1.541718961669664489e+00,1.538000516365142012e+00
1.554573943655103818e+00,1.545149434223409557e+00,1.554936062251771167e+00,1.519822643843826704e+00,1.510593010952392845e+00,1.485208384185452424e+00,1.512897927946516674e+00,1.558162702769605890e+00,1.532775966314791738e+00,1.545452680066764950e+00
1.547870421132232499e+00,1.578349357366292338e+00,1.518973143216439503e+00,1.549577367012903828e+00,1.500200976045999335e+00,1.478707663529777339e+00,1.510844010431865225e+00,1.540256937282306282e+00,1.578453119524366066e+00,1.567584569632206382e+00
1.520940430350804951e+00,1.522870381690188069e+00,1.538234692498456679e+00,1.578818899960093836e+00,1.549191180505405496e+00,1.533023128806197732e+00,1.488197765404121409e+00,1.493061612050576192e+00,1.544506693109936268e+00,1.521741393952340093e+00
1.542006315553064555e+00,1.567768727558864983e+00,1.526049844650764209e+00,1.576566991051017386e+00,1.547364127456315464e+00,1.496383174930297155e+00,1.544383505726824701e+00,1.487166266257899938e+00,1.453809207121367075e+00,1.449867124703183352e+00
1.566768081543186586e+00,1.524340875097654369e+00,1.554112181645198376e+00,1.528879834461809750e+00,1.558142973223879180e+00,1.565641589170709835e+00,1.573292555763148748e+00,1.568439172801438408e+00,1.526472924613928583e+00,1.509110312086471062e+00
1.551387601200207245e+00,1.530203774059501143e+00,1.494980179196582215e+00,1.501081748031826812e+00,1.548675830515051199e+00,1.562904361396480590e+00,1.536676193088643227e+00,1.536588014714773243e+00,1.509361041808988224e+00,1.559646186309423088e+00
